Row ID,Order Date,Sales,Quantity,Discount,Profit
1,08-11-2016,261.96,2,0,41.9136
2,08-11-2016,731.94,3,0,219.582
3,12-06-2016,14.62,2,0,6.8714
4,11-10-2015,957.5775,5,0.45,-383.031
5,11-10-2015,22.368,2,0.2,2.5164
6,09-06-2014,48.86,7,0,14.1694
7,09-06-2014,7.28,4,0,1.9656
8,09-06-2014,907.152,6,0.2,90.7152
9,09-06-2014,18.504,3,0.2,5.7825
10,09-06-2014,114.9,5,0,34.47
11,09-06-2014,1706.184,9,0.2,85.3092
12,09-06-2014,911.424,4,0.2,68.3568
13,15-04-2017,15.552,3,0.2,5.4432
14,05-12-2016,407.976,3,0.2,132.5922
15,22-11-2015,68.81,5,0.8,-123.858
16,22-11-2015,2.544,3,0.8,-3.816
17,11-11-2014,665.88,6,0,13.3176
18,13-05-2014,55.5,2,0,9.99
19,27-08-2014,8.56,2,0,2.4824
20,27-08-2014,213.48,3,0.2,16.011
21,27-08-2014,22.72,4,0.2,7.384
22,09-12-2016,19.46,7,0,5.0596
23,09-12-2016,60.34,7,0,15.6884
24,16-07-2017,71.372,2,0.3,-1.0196
25,25-09-2015,1044.63,3,0,240.2649
26,16-01-2016,11.648,2,0.2,4.2224
27,16-01-2016,90.57,3,0,11.7741
28,17-09-2015,3083.43,7,0.5,-1665.0522
29,17-09-2015,9.618,2,0.7,-7.0532
30,17-09-2015,124.2,3,0.2,15.525
31,17-09-2015,3.264,2,0.2,1.1016
32,17-09-2015,86.304,6,0.2,9.7092
33,17-09-2015,6.858,6,0.7,-5.715
34,17-09-2015,15.76,2,0.2,3.546
35,19-10-2017,29.472,3,0.2,9.9468
36,08-12-2016,1097.544,7,0.2,123.4737
37,08-12-2016,190.92,5,0.6,-147.963
38,27-12-2015,113.328,9,0.2,35.415
39,27-12-2015,532.3992,3,0.32,-46.9764
40,27-12-2015,212.058,3,0.3,-15.147
41,27-12-2015,371.168,4,0.2,41.7564
42,10-09-2017,147.168,4,0.2,16.5564
43,17-07-2016,77.88,2,0,3.894
44,19-09-2017,95.616,2,0.2,9.5616
45,11-03-2016,45.98,2,0,19.7714
46,11-03-2016,17.46,2,0,8.2062
47,20-10-2014,211.96,4,0,8.4784
48,20-06-2016,45,3,0,4.95
49,20-06-2016,21.8,2,0,6.104
50,18-04-2015,38.22,6,0,17.9634
51,18-04-2015,75.18,6,0,35.3346
52,18-04-2015,6.16,2,0,2.9568
53,18-04-2015,89.99,1,0,17.0981
54,11-12-2016,15.26,7,0,6.2566
55,11-12-2016,1029.95,5,0,298.6855
56,17-06-2016,208.56,6,0,52.14
57,17-06-2016,32.4,5,0,15.552
58,17-06-2016,319.41,5,0.1,7.098
59,17-06-2016,14.56,2,0,6.9888
60,17-06-2016,30,2,0,3.3
61,17-06-2016,48.48,4,0.2,16.362
62,17-06-2016,1.68,1,0,0.84
63,24-11-2015,13.98,2,0,6.1512
64,24-11-2015,25.824,6,0.2,9.3612
65,24-11-2015,146.73,3,0,68.9631
66,24-11-2015,79.76,4,0,22.3328
67,30-04-2015,213.115,5,0.3,-15.2225
68,05-12-2014,1113.024,8,0.2,111.3024
69,05-12-2014,167.968,4,0.2,62.988
70,04-06-2016,75.88,2,0,35.6636
71,18-09-2016,4.616,1,0.2,1.731
72,14-09-2017,19.05,3,0,8.763
73,26-04-2015,831.936,8,0.2,-114.3912
74,26-04-2015,97.04,2,0.2,1.213
75,26-04-2015,72.784,1,0.2,-18.196
76,09-12-2017,1.248,3,0.8,-1.9344
77,09-12-2017,9.708,3,0.6,-5.8248
78,09-12-2017,27.24,3,0.2,2.724
79,26-11-2014,19.3,5,0.6,-14.475
80,12-06-2016,208.16,1,0,56.2032
81,12-06-2016,16.74,3,0,8.0352
82,12-10-2014,14.9,5,0,4.172
83,12-10-2014,21.39,1,0,6.2031
84,03-09-2015,200.984,7,0.2,62.8075
85,13-11-2017,230.376,3,0.2,-48.9549
86,28-05-2017,301.96,2,0,33.2156
