Row Labels,Sum of Sales
CA-2015-100006,377.97
07-09-2015,377.97
CA-2015-100090,699.192
08-07-2015,699.192
CA-2015-100293,91.056
14-03-2015,91.056
CA-2015-100328,3.928
28-01-2015,3.928
CA-2015-100363,21.376
08-04-2015,21.376
CA-2015-100391,14.62
25-05-2015,14.62
CA-2015-100678,697.074
18-04-2015,697.074
CA-2015-100706,129.44
16-12-2015,129.44
CA-2015-100762,508.62
24-11-2015,508.62
CA-2015-100860,18.75
26-03-2015,18.75
CA-2015-100867,321.552
19-10-2015,321.552
CA-2015-100881,302.376
28-03-2015,302.376
CA-2015-100895,605.47
02-06-2015,605.47
CA-2015-100916,788.86
21-10-2015,788.86
CA-2015-100972,166.44
19-11-2015,166.44
CA-2015-101147,2.394
02-12-2015,2.394
CA-2015-101175,100.704
09-12-2015,100.704
CA-2015-101266,13.36
27-08-2015,13.36
CA-2015-101364,296.712
22-12-2015,296.712
CA-2015-101392,269.36
07-12-2015,269.36
CA-2015-101427,8.016
26-12-2015,8.016
CA-2015-101462,59.92
20-04-2015,59.92
CA-2015-101476,69.99
12-09-2015,69.99
CA-2015-101560,542.34
28-11-2015,542.34
CA-2015-101602,803.96
15-12-2015,803.96
CA-2015-101770,1.869
31-03-2015,1.869
CA-2015-101833,34.44
17-11-2015,34.44
CA-2015-101931,1252.602
28-10-2015,1252.602
CA-2015-102008,48.94
30-09-2015,48.94
CA-2015-102085,29.24
04-10-2015,29.24
CA-2015-102274,865.5
21-11-2015,865.5
CA-2015-102295,120.712
24-11-2015,120.712
CA-2015-102330,408.768
29-12-2015,408.768
CA-2015-102645,40.08
23-01-2015,40.08
CA-2015-102652,199.99
06-04-2015,199.99
CA-2015-102673,1044.44
01-11-2015,1044.44
CA-2015-102869,233.244
09-09-2015,233.244
CA-2015-102988,4251.92
05-04-2015,4251.92
CA-2015-103058,99.98
23-07-2015,99.98
CA-2015-103086,5.312
17-10-2015,5.312
CA-2015-103100,1107.66
20-12-2015,1107.66
CA-2015-103191,331.536
22-09-2015,331.536
CA-2015-103219,56.52
09-11-2015,56.52
CA-2015-103310,1769.784
10-05-2015,1769.784
CA-2015-103317,242.546
05-07-2015,242.546
CA-2015-103331,31.4
26-08-2015,31.4
CA-2015-103366,149.95
15-01-2015,149.95
CA-2015-103373,779.796
18-05-2015,779.796
CA-2015-103401,12.96
21-11-2015,12.96
CA-2015-103429,765.494
30-05-2015,765.494
CA-2015-103492,1488.774
10-10-2015,1488.774
CA-2015-103527,10.896
09-09-2015,10.896
CA-2015-103590,62.28
30-11-2015,62.28
CA-2015-103660,1007.944
25-08-2015,1007.944
CA-2015-103702,63.924
12-09-2015,63.924
CA-2015-103744,11.364
23-02-2015,11.364
CA-2015-103800,16.448
03-01-2015,16.448
CA-2015-103807,21.19
02-12-2015,21.19
CA-2015-103849,225.016
11-05-2015,225.016
CA-2015-103940,260.79
17-09-2015,260.79
CA-2015-103989,590.762
19-03-2015,590.762
CA-2015-104178,176.14
25-08-2015,176.14
CA-2015-104269,457.568
01-03-2015,457.568
CA-2015-104283,616.14
27-06-2015,616.14
CA-2015-104402,65.97
17-06-2015,65.97
CA-2015-104472,133.128
02-06-2015,133.128
CA-2015-104563,1143.822
07-03-2015,1143.822
CA-2015-104738,609.614
30-12-2015,609.614
CA-2015-104773,60.416
08-12-2015,60.416
CA-2015-104780,31.84
21-05-2015,31.84
CA-2015-104808,17.248
04-02-2015,17.248
CA-2015-104829,21.98
18-11-2015,21.98
CA-2015-104976,34.68
09-12-2015,34.68
CA-2015-105165,469.043
07-09-2015,469.043
CA-2015-105172,18.9
04-04-2015,18.9
CA-2015-105249,460.092
28-11-2015,460.092
CA-2015-105270,143.128
11-11-2015,143.128
CA-2015-105340,6.928
22-11-2015,6.928
CA-2015-105417,87.158
07-01-2015,87.158
CA-2015-105648,626.352
03-03-2015,626.352
CA-2015-105872,70.368
30-05-2015,70.368
CA-2015-105893,665.88
11-11-2015,665.88
CA-2015-105984,1661.028
24-11-2015,1661.028
CA-2015-106054,12.78
06-01-2015,12.78
CA-2015-106229,268.935
07-06-2015,268.935
CA-2015-106264,15.39
26-12-2015,15.39
CA-2015-106376,1280.992
05-12-2015,1280.992
CA-2015-106439,1007.936
31-10-2015,1007.936
CA-2015-106572,264.32
05-09-2015,264.32
CA-2015-106719,8.288
